Format: index, leftIndex, rightIndex, class - uX, uY, vX, vY, thresh - Score
746, 768, 769, -1 - 15, 17, 38, 15, 62.755211 - 0.413817
747, 770, 771, -1 - 3, 12, 4, 8, 73.436689 - 0.442489
748, 772, 773, -1 - -16, -1, 0, -37, -82.311472 - 0.918296
749, 774, 775, -1 - 4, -30, -25, 11, -71.727653 - 0.030416
750, 776, 777, -1 - 0, 11, 15, 26, -36.826685 - 0.373473
751, 778, 779, -1 - 36, 20, 5, 2, -91.619617 - 0.210842
752, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
753, 780, 781, -1 - 0, 0, 8, -40, 61.961730 - 0.591673
754, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
755, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
756, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
757, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
758, 782, 783, -1 - 0, 5, 6, 0, -46.140934 - 0.994030
759, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
760, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
761, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
762, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
763, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
764, 784, 785, -1 - 3, 20, 38, 8, 87.005219 - 0.364093
765, 786, 787, -1 - -10, -52, 20, -44, 69.335002 - 0.522559
766, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
767, 788, 789, -1 - 6, -46, 6, 24, 2.523881 - 0.077022
768, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
769, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
770, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
771, 790, 791, -1 - 34, 17, 20, -21, -58.403272 - 0.863121
772, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
773, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
774, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
775, 792, 793, -1 - -16, -1, 0, -37, -82.311472 - 0.543564
776, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
777, 794, 795, -1 - 15, -49, -4, 0, 80.205695 - 0.863121
778, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
779, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
780, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
781, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
782, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
783, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
784, 796, 797, -1 - -40, -12, 2, -29, 66.100040 - 0.918296
785, 798, 799, -1 - -15, 5, 21, 36, -65.654469 - 0.112838
786, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
787, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
788, 800, 801, -1 - -31, -16, -5, -28, 1.174963 - 0.028205
789, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
790, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
791, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
792, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
793, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
794, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
795, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
796, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
797, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
798, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
799, 802, 803, -1 - -3, 18, -26, -33, -87.755974 - 1.000000
800, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
801, 804, 805, -1 - 8, 15, 0, 19, -27.811518 - 0.174689
802, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
803, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
804, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
805, 806, 807, -1 - 30, -33, -5, -27, 6.472976 - 0.970951
806, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
807, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
